,correct_target,detokenized_text,scrambled_text,tokenized_text
221,0,right o called joe sturdily,"['her', 'o', 'called', 'joe', 'sturdily']","['right', 'o', 'called', 'joe', 'sturdily']"
222,4,let her flicker old man,"['let', 'her', 'flicker', 'old', ""it's""]","['let', 'her', 'flicker', 'old', 'man']"
223,3,see that the lid's tight,"['see', 'that', 'the', 'probabilities', 'tight']","['see', 'that', 'the', ""lid's"", 'tight']"
224,1,going to swim for it,"['going', 'windlass', 'swim', 'for', 'it']","['going', 'to', 'swim', 'for', 'it']"
225,4,look out for back tow,"['look', 'out', 'for', 'back', 'are']","['look', 'out', 'for', 'back', 'tow']"
226,3,then he slipped from sight,"['then', 'he', 'slipped', 'steve', 'sight']","['then', 'he', 'slipped', 'from', 'sight']"
227,0,then he too was battling,"['that', 'he', 'too', 'was', 'battling']","['then', 'he', 'too', 'was', 'battling']"
228,0,i'm going back he said,"['around', 'going', 'back', 'he', 'said']","[""i'm"", 'going', 'back', 'he', 'said']"
229,4,i can do it easily,"['i', 'can', 'do', 'it', 'miserable']","['i', 'can', 'do', 'it', 'easily']"
230,2,i think it will hold,"['i', 'think', 'steve', 'will', 'hold']","['i', 'think', 'it', 'will', 'hold']"
231,0,i'll show you the way,"['anything', 'show', 'you', 'the', 'way']","[""i'll"", 'show', 'you', 'the', 'way']"
232,3,that was a miserable night,"['that', 'was', 'a', 'han', 'night']","['that', 'was', 'a', 'miserable', 'night']"
233,1,she was a pathetic sight,"['she', 'all', 'a', 'pathetic', 'sight']","['she', 'was', 'a', 'pathetic', 'sight']"
234,2,and the storm's going down,"['and', 'the', 'queer', 'going', 'down']","['and', 'the', ""storm's"", 'going', 'down']"
235,0,i'm afraid so steve agreed,"['it', 'afraid', 'so', 'steve', 'agreed']","[""i'm"", 'afraid', 'so', 'steve', 'agreed']"
236,2,most islands are said ossie,"['most', 'islands', 'perry', 'said', 'ossie']","['most', 'islands', 'are', 'said', 'ossie']"
237,4,not very much said joe,"['not', 'very', 'much', 'said', 'but']","['not', 'very', 'much', 'said', 'joe']"
238,4,isn't it a rock fellows,"[""isn't"", 'it', 'a', 'rock', 'miserable']","[""isn't"", 'it', 'a', 'rock', 'fellows']"
239,2,about nine they began operations,"['about', 'nine', 'phil', 'began', 'operations']","['about', 'nine', 'they', 'began', 'operations']"
240,2,couldn't we tow her steve,"[""couldn't"", 'we', 'he', 'her', 'steve']","[""couldn't"", 'we', 'tow', 'her', 'steve']"
241,1,nothing yet was the answer,"['nothing', 'all', 'was', 'the', 'answer']","['nothing', 'yet', 'was', 'the', 'answer']"
242,2,and there's another thing too,"['and', ""there's"", 'was', 'thing', 'too']","['and', ""there's"", 'another', 'thing', 'too']"
243,4,oh dry up said han,"['oh', 'dry', 'up', 'said', 'corwin']","['oh', 'dry', 'up', 'said', 'han']"
244,0,you're worse than poe's raven,"['perry', 'worse', 'than', ""poe's"", 'raven']","[""you're"", 'worse', 'than', ""poe's"", 'raven']"
245,1,or at least it's bolted,"['or', 'till', 'least', ""it's"", 'bolted']","['or', 'at', 'least', ""it's"", 'bolted']"
246,0,take this one first perry,"['laughed', 'this', 'one', 'first', 'perry']","['take', 'this', 'one', 'first', 'perry']"
247,2,yes both clear replied han,"['yes', 'both', 'is', 'replied', 'han']","['yes', 'both', 'clear', 'replied', 'han']"
248,2,she steers better without it,"['she', 'steers', 'them', 'without', 'it']","['she', 'steers', 'better', 'without', 'it']"
249,2,hello where are the boats,"['hello', 'where', 'i', 'the', 'boats']","['hello', 'where', 'are', 'the', 'boats']"
250,3,perry stared ahead in surprise,"['perry', 'stared', 'ahead', 'best', 'surprise']","['perry', 'stared', 'ahead', 'in', 'surprise']"
251,4,no i'll get mine later,"['no', ""i'll"", 'get', 'mine', 'it']","['no', ""i'll"", 'get', 'mine', 'later']"
252,1,it was fierce steve said,"['it', 'but', 'fierce', 'steve', 'said']","['it', 'was', 'fierce', 'steve', 'said']"
253,0,the lot of us did,"['it', 'lot', 'of', 'us', 'did']","['the', 'lot', 'of', 'us', 'did']"
254,2,the man laughed and shook,"['the', 'man', 'around', 'and', 'shook']","['the', 'man', 'laughed', 'and', 'shook']"
255,0,yes sir if that's advisable,"['slows', 'sir', 'if', ""that's"", 'advisable']","['yes', 'sir', 'if', ""that's"", 'advisable']"
256,1,well i think it is,"['well', 'deep', 'think', 'it', 'is']","['well', 'i', 'think', 'it', 'is']"
257,3,you leave it to me,"['you', 'leave', 'it', 'move', 'me']","['you', 'leave', 'it', 'to', 'me']"
258,0,funny old whale isn't he,"['anything', 'old', 'whale', ""isn't"", 'he']","['funny', 'old', 'whale', ""isn't"", 'he']"
259,4,wait a minute said phil,"['wait', 'a', 'minute', 'said', 'seventeen']","['wait', 'a', 'minute', 'said', 'phil']"
260,4,what do you call adventures,"['what', 'do', 'you', 'call', 'say']","['what', 'do', 'you', 'call', 'adventures']"
261,2,he looked about him inquiringly,"['he', 'looked', 'steve', 'him', 'inquiringly']","['he', 'looked', 'about', 'him', 'inquiringly']"
262,4,there's next summer coming fellows,"[""there's"", 'next', 'summer', 'coming', 'to']","[""there's"", 'next', 'summer', 'coming', 'fellows']"
263,2,you're dead right steve too,"[""you're"", 'dead', 'casper', 'steve', 'too']","[""you're"", 'dead', 'right', 'steve', 'too']"
264,1,right you are agreed wink,"['right', 'to', 'are', 'agreed', 'wink']","['right', 'you', 'are', 'agreed', 'wink']"
265,0,so that's it murmured joe,"['to', ""that's"", 'it', 'murmured', 'joe']","['so', ""that's"", 'it', 'murmured', 'joe']"
266,2,yes sir murmured steve nervously,"['yes', 'sir', 'of', 'steve', 'nervously']","['yes', 'sir', 'murmured', 'steve', 'nervously']"
267,0,then what began wink dejectedly,"['well', 'what', 'began', 'wink', 'dejectedly']","['then', 'what', 'began', 'wink', 'dejectedly']"
268,0,see paragraph 1 c below,"['here', 'paragraph', '1', 'c', 'below']","['see', 'paragraph', '1', 'c', 'below']"
269,3,see paragraph 1 e below,"['see', 'paragraph', '1', 'george', 'below']","['see', 'paragraph', '1', 'e', 'below']"
